campaign_id,scenario,day,basis,feature_set,best_dial,predicted_dial,absolute_dial_error
train_lookalike_prospecting_0,lookalike_prospecting,13,same_day,full,0.296875,0.24475927514492735,0.052115724855072654
train_lookalike_prospecting_0,lookalike_prospecting,13,cumulative,full,0.41562499999999997,0.342862249218677,0.072762750781323
train_lookalike_prospecting_1,lookalike_prospecting,1,same_day,full,0.11875,0.2034329855333059,0.08468298553330592
train_lookalike_prospecting_1,lookalike_prospecting,1,cumulative,full,0.11875,0.2034329855333059,0.08468298553330592
train_lookalike_prospecting_1,lookalike_prospecting,3,same_day,full,0.2375,0.1950417927349739,0.04245820726502608
train_lookalike_prospecting_1,lookalike_prospecting,3,cumulative,full,0.2375,0.19853072899764024,0.03896927100235975
train_lookalike_prospecting_1,lookalike_prospecting,6,same_day,full,0.17812499999999998,0.22607431465447297,0.047949314654472996
train_lookalike_prospecting_1,lookalike_prospecting,6,cumulative,full,0.2375,0.24843386611712756,0.010933866117127572
train_lookalike_prospecting_1,lookalike_prospecting,9,same_day,full,0.2375,0.2685570413359719,0.031057041335971924
train_lookalike_prospecting_1,lookalike_prospecting,9,cumulative,full,0.35624999999999996,0.32294775615397064,0.03330224384602931
train_lookalike_prospecting_1,lookalike_prospecting,13,same_day,full,0.17812499999999998,0.2357134122373577,0.05758841223735772
train_lookalike_prospecting_1,lookalike_prospecting,13,cumulative,full,0.41562499999999997,0.3454210574862223,0.07020394251377765
train_advantage_audience_expansion_0,advantage_audience_expansion,1,same_day,full,0.059375,0.1675121998431956,0.1081371998431956
train_advantage_audience_expansion_0,advantage_audience_expansion,1,cumulative,full,0.059375,0.1675121998431956,0.1081371998431956
train_advantage_audience_expansion_0,advantage_audience_expansion,3,same_day,full,0.2375,0.1695265322417609,0.06797346775823909
train_advantage_audience_expansion_0,advantage_audience_expansion,3,cumulative,full,0.2375,0.2194536220176744,0.018046377982325584
train_advantage_audience_expansion_0,advantage_audience_expansion,6,same_day,full,0.17812499999999998,0.21137746458705364,0.033252464587053665
train_advantage_audience_expansion_0,advantage_audience_expansion,6,cumulative,full,0.2375,0.23283268920515102,0.004667310794848972
train_advantage_audience_expansion_0,advantage_audience_expansion,9,same_day,full,0.17812499999999998,0.21175494853667576,0.03362994853667578
train_advantage_audience_expansion_0,advantage_audience_expansion,9,cumulative,full,0.296875,0.2436470737901943,0.05322792620980571
train_advantage_audience_expansion_0,advantage_audience_expansion,13,same_day,full,0.2375,0.18062615544435695,0.05687384455564304
train_advantage_audience_expansion_0,advantage_audience_expansion,13,cumulative,full,0.35624999999999996,0.2811760533071374,0.07507394669286255
train_advantage_audience_expansion_1,advantage_audience_expansion,1,same_day,full,0.059375,0.15640730124847546,0.09703230124847546
train_advantage_audience_expansion_1,advantage_audience_expansion,1,cumulative,full,0.059375,0.15640730124847546,0.09703230124847546
train_advantage_audience_expansion_1,advantage_audience_expansion,3,same_day,full,0.17812499999999998,0.15910990331432096,0.019015096685679023
train_advantage_audience_expansion_1,advantage_audience_expansion,3,cumulative,full,0.11875,0.14601739445224954,0.027267394452249544
train_advantage_audience_expansion_1,advantage_audience_expansion,6,same_day,full,0.17812499999999998,0.16106954240025362,0.01705545759974636
train_advantage_audience_expansion_1,advantage_audience_expansion,6,cumulative,full,0.17812499999999998,0.15563990390283206,0.022485096097167923
train_advantage_audience_expansion_1,advantage_audience_expansion,9,same_day,full,0.2375,0.19712767586417795,0.040372324135822035
train_advantage_audience_expansion_1,advantage_audience_expansion,9,cumulative,full,0.2375,0.24165048180849485,0.004150481808494866
train_advantage_audience_expansion_1,advantage_audience_expansion,13,same_day,full,0.2375,0.20357742016016422,0.033922579839835765
train_advantage_audience_expansion_1,advantage_audience_expansion,13,cumulative,full,0.35624999999999996,0.28055161145829466,0.0756983885417053
train_app_activity_retargeting_0,app_activity_retargeting,1,same_day,full,0.7124999999999999,0.5933936830884184,0.11910631691158147
train_app_activity_retargeting_0,app_activity_retargeting,1,cumulative,full,0.7124999999999999,0.5933936830884184,0.11910631691158147
train_app_activity_retargeting_0,app_activity_retargeting,3,same_day,full,0.475,0.6725505094095233,0.19755050940952334
train_app_activity_retargeting_0,app_activity_retargeting,3,cumulative,full,0.653125,0.662849893047331,0.00972489304733104
train_app_activity_retargeting_0,app_activity_retargeting,6,same_day,full,0.771875,0.6817955606721854,0.09007943932781459
train_app_activity_retargeting_0,app_activity_retargeting,6,cumulative,full,0.771875,0.7993821903900763,0.02750719039007632
train_app_activity_retargeting_0,app_activity_retargeting,9,same_day,full,0.7124999999999999,0.7610117843220742,0.04851178432207426
train_app_activity_retargeting_0,app_activity_retargeting,9,cumulative,full,0.8312499999999999,0.8349370638625297,0.0036870638625298158
train_app_activity_retargeting_0,app_activity_retargeting,13,same_day,full,0.7124999999999999,0.7016150533885164,0.010884946611483537
train_app_activity_retargeting_0,app_activity_retargeting,13,cumulative,full,0.890625,0.8731964577168216,0.01742854228317836
train_app_activity_retargeting_1,app_activity_retargeting,1,same_day,full,0.59375,0.6641692917267008,0.0704192917267008
train_app_activity_retargeting_1,app_activity_retargeting,1,cumulative,full,0.59375,0.6641692917267008,0.0704192917267008
train_app_activity_retargeting_1,app_activity_retargeting,3,same_day,full,0.653125,0.6577580319035102,0.004633031903510276
train_app_activity_retargeting_1,app_activity_retargeting,3,cumulative,full,0.7124999999999999,0.6922716420612699,0.020228357938730013
train_app_activity_retargeting_1,app_activity_retargeting,6,same_day,full,0.771875,0.6782954719502767,0.09357952804972325
train_app_activity_retargeting_1,app_activity_retargeting,6,cumulative,full,0.8312499999999999,0.8004813194980773,0.030768680501922607
train_app_activity_retargeting_1,app_activity_retargeting,9,same_day,full,0.7124999999999999,0.7124931463482219,6.853651777993797e-06
train_app_activity_retargeting_1,app_activity_retargeting,9,cumulative,full,0.8312499999999999,0.8474470013474454,0.016197001347445505
train_app_activity_retargeting_1,app_activity_retargeting,13,same_day,full,0.653125,0.699422872548512,0.04629787254851203
train_app_activity_retargeting_1,app_activity_retargeting,13,cumulative,full,0.890625,0.8850897538564646,0.0055352461435353995
train_unrelated_niche_control_0,unrelated_niche_control,1,same_day,full,0.475,0.1951893447067753,0.2798106552932247
train_unrelated_niche_control_0,unrelated_niche_control,1,cumulative,full,0.475,0.1951893447067753,0.2798106552932247
train_unrelated_niche_control_0,unrelated_niche_control,3,same_day,full,0.0,0.24355096273261959,0.24355096273261959
train_unrelated_niche_control_0,unrelated_niche_control,3,cumulative,full,0.2375,0.2643483723708404,0.026848372370840423
train_unrelated_niche_control_0,unrelated_niche_control,6,same_day,full,0.2375,0.28824969501942643,0.050749695019426444
train_unrelated_niche_control_0,unrelated_niche_control,6,cumulative,full,0.35624999999999996,0.3360438181096149,0.020206181890385033
train_unrelated_niche_control_0,unrelated_niche_control,9,same_day,full,0.35624999999999996,0.257510395728618,0.09873960427138195
train_unrelated_niche_control_0,unrelated_niche_control,9,cumulative,full,0.41562499999999997,0.38834276205795887,0.0272822379420411
train_unrelated_niche_control_0,unrelated_niche_control,13,same_day,full,0.059375,0.2649516431346915,0.20557664313469148
train_unrelated_niche_control_0,unrelated_niche_control,13,cumulative,full,0.59375,0.4551432564582475,0.1386067435417525
train_unrelated_niche_control_1,unrelated_niche_control,1,same_day,full,0.11875,0.2198226912779583,0.10107269127795832
train_unrelated_niche_control_1,unrelated_niche_control,1,cumulative,full,0.11875,0.2198226912779583,0.10107269127795832
train_unrelated_niche_control_1,unrelated_niche_control,3,same_day,full,0.059375,0.15959124132186764,0.10021624132186764
train_unrelated_niche_control_1,unrelated_niche_control,3,cumulative,full,0.0,0.2413220532584791,0.2413220532584791
train_unrelated_niche_control_1,unrelated_niche_control,6,same_day,full,0.2375,0.2129155407305654,0.02458445926943459
train_unrelated_niche_control_1,unrelated_niche_control,6,cumulative,full,0.2375,0.3263150627907066,0.08881506279070661
train_unrelated_niche_control_1,unrelated_niche_control,9,same_day,full,0.475,0.2950871073493022,0.17991289265069776
train_unrelated_niche_control_1,unrelated_niche_control,9,cumulative,full,0.35624999999999996,0.4052183438400927,0.04896834384009274
train_unrelated_niche_control_1,unrelated_niche_control,13,same_day,full,0.296875,0.26561880909020985,0.03125619090979015
train_unrelated_niche_control_1,unrelated_niche_control,13,cumulative,full,0.59375,0.46187738363553854,0.13187261636446146
