campaign_id,scenario,method,day,dial
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,13,0.0
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,1,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,2,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,3,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,4,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,5,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,6,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,7,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,8,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,9,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,10,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,11,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,12,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,full_flight_buffer_then_freeze,13,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_same_day_dial,13,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,1,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,2,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,3,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,4,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,5,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,6,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,7,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,8,0.0
eval_broad_awareness_control_1,broad_awareness_control,fixed_model_line_pool,9,0.0
