scenario,scenario_label,variant,similarity_multiplier,matchability_shift,replicate,report,edp_count,method,method_label,relative_error
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,0.00041684026358772584
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.0004168403491038688
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.009681678543151275
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.0028412373108664206
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.05221476966223864
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.020599445833434968
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.053512193612968696
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.004923776553529184
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.007973613950367456
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.01061141990904447
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.02036469711732243
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.010611419186818544
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 10 EDPs",10,baseline_vid,Existing VID,0.00028768295241136596
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.00033344448149370706
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,0.00033344448149358287
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,0.0003334443898900732
