scenario,scenario_label,campaign,replicate,report,week_count,edp_count,method,method_label,truth_union,estimate,relative_error,signed_error,mean_edp_reach_fraction,reference_full_intersection
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-12, 10 EDPs",12,10,pairwise_maxent_direct,Direct pair + higher-order inference,119960000.0,119999999.99993984,0.0003334444809923642,0.0003334444809923642,0.589775,-1.348637524020473e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-12, 10 EDPs",12,10,pairwise_maxent_mixture,Mixture pair + higher-order inference,119960000.0,120000000.0,0.00033344448149383126,0.00033344448149383126,0.589775,-1.348637524020473e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 10 EDPs",13,10,baseline_vid,Existing VID,120000000.0,119997049.82203315,2.458481639040013e-05,-2.458481639040013e-05,0.6438666666666667,-3.2823927612488295e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 10 EDPs",13,10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,120000000.0,120000000.0,0.0,0.0,0.6438666666666667,-3.2823927612488295e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 10 EDPs",13,10,two_group_latent_mixture,Two-group mixture,120000000.0,120000000.0,0.0,0.0,0.6438666666666667,-3.2823927612488295e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 10 EDPs",13,10,pairwise_maxent_direct,Direct pair + higher-order inference,120000000.0,119999999.95004533,4.16288897395134e-10,-4.16288897395134e-10,0.6438666666666667,-3.2823927612488295e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 10 EDPs",13,10,pairwise_maxent_mixture,Mixture pair + higher-order inference,120000000.0,120000000.0,0.0,0.0,0.6438666666666667,-3.2823927612488295e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_02,2,"weeks 1-3, 2 EDPs",3,2,baseline_vid,Existing VID,25570000.0,25525316.666666668,0.0017474905488201835,-0.0017474905488201835,0.10883333333333334,329901.81806360965
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_02,2,"weeks 1-3, 2 EDPs",3,2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,25570000.0,25563685.199131176,0.0002469613167314871,-0.0002469613167314871,0.10883333333333334,329901.81806360965
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_02,2,"weeks 1-3, 2 EDPs",3,2,two_group_latent_mixture,Two-group mixture,25570000.0,25528673.22555168,0.0016162211360312973,-0.0016162211360312973,0.10883333333333334,329901.81806360965
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_02,2,"weeks 1-3, 2 EDPs",3,2,pairwise_maxent_direct,Direct pair + higher-order inference,25570000.0,25533707.746450514,0.0014193294309537113,-0.0014193294309537113,0.10883333333333334,329901.81806360965
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_02,2,"weeks 1-3, 2 EDPs",3,2,pairwise_maxent_mixture,Mixture pair + higher-order inference,25570000.0,25537147.449769184,0.0012848083782094645,-0.0012848083782094645,0.10883333333333334,329901.81806360965
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_02,2,"weeks 5-12, 2 EDPs",8,2,baseline_vid,Existing VID,93820000.0,94160333.33333333,0.003627513678675425,0.003627513678675425,0.521875,14750095.168333812
