campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,noncontiguous__2_edps,noncontiguous,2,6,2599,3247,0.24932666410157753
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_1_3__2_edps,prefix,2,3,1213,1213,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_1_12__2_edps,prefix,2,12,4063,4063,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_5_12__2_edps,interval,2,8,3433,3449,0.00466064666472473
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_1_3__5_edps,prefix,5,3,2123,2123,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_1_12__5_edps,prefix,5,12,5553,5553,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_7_13__5_edps,interval,5,7,4696,4528,0.03577512776831346
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,all_weeks__5_edps,prefix,5,13,5782,5782,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,noncontiguous__5_edps,noncontiguous,5,6,4175,3894,0.06730538922155689
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_1_3__10_edps,prefix,10,3,2803,2803,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_1_12__10_edps,prefix,10,12,6113,6113,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,all_weeks__10_edps,prefix,10,13,6320,6320,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_5_12__10_edps,interval,10,8,5525,5383,0.02570135746606335
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,weeks_7_13__10_edps,interval,10,7,5385,5118,0.04958217270194986
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,noncontiguous__10_edps,noncontiguous,10,6,4782,4341,0.09222082810539524
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_recent,noncontiguous__2_edps,noncontiguous,2,6,2599,2571,0.010773374374759523
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_1_3__2_edps,prefix,2,3,1213,1213,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_1_12__2_edps,prefix,2,12,4063,4063,0.0
